Organism	BioProject	Run	Tissue	Treatment	Isolate	AGE	SRA Study	Sample Name	Bases	Bytes	AvgSpotLen	BioSample	Experiment	ReleaseDate	create_date	Library Name	dev_stage	Cultivar					name
Brassica rapa	PRJNA593493	SRR10685336	Apex	-	not applicable	21d	SRP237446	R18A6_1	7503401100	2856040192	300	SAMN13477703	SRX7362261	2020-12-18T00:00:00Z	2019-12-13T22:36:00Z	R18A6_1	5th true leaf visible	R-o-18					Apex_21days
Brassica rapa	PRJNA593493	SRR10685337	Apex	-	not applicable	25d	SRP237446	BA15_2	8778343500	3464878051	300	SAMN13477818	SRX7362260	2020-12-18T00:00:00Z	2019-12-13T22:49:00Z	BA15_2	8th/9th true leaf	Sarisha-14					Apex_25days
Brassica rapa	PRJNA593493	SRR10685338	Apex	-	not applicable	25d	SRP237446	BA15_1	8613069600	3274521667	300	SAMN13477817	SRX7362259	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	BA15_1	8th/9th true leaf	Sarisha-14					Apex_25days
Brassica rapa	PRJNA593493	SRR10685339	Apex	-	not applicable	24d	SRP237446	BA14_2	7938806400	3162335172	300	SAMN13477816	SRX7362258	2020-12-18T00:00:00Z	2019-12-13T22:35:00Z	BA14_2	7th true leaf	Sarisha-14					Apex_24days
Brassica rapa	PRJNA593493	SRR10685340	Apex	-	not applicable	24d	SRP237446	BA14_1	8652663000	3252862849	300	SAMN13477815	SRX7362257	2020-12-18T00:00:00Z	2019-12-13T22:42:00Z	BA14_1	7th true leaf	Sarisha-14					Apex_24days
Brassica rapa	PRJNA593493	SRR10685341	Apex	-	not applicable	23d	SRP237446	BA13_2	8262838500	3007481300	300	SAMN13477814	SRX7362256	2020-12-18T00:00:00Z	2019-12-13T22:37:00Z	BA13_2	7th true leaf	Sarisha-14					Apex_23days
Brassica rapa	PRJNA593493	SRR10685342	Apex	-	not applicable	23d	SRP237446	BA13_1	7926765600	3028854075	300	SAMN13477813	SRX7362255	2020-12-18T00:00:00Z	2019-12-13T22:42:00Z	BA13_1	7th true leaf	Sarisha-14					Apex_23days
Brassica rapa	PRJNA593493	SRR10685343	Apex	-	not applicable	22d	SRP237446	BA12_2	7719559800	3011183774	300	SAMN13477812	SRX7362254	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	BA12_2	6th true leaf	Sarisha-14					Apex_22days
Brassica rapa	PRJNA593493	SRR10685344	Apex	-	not applicable	22d	SRP237446	BA12_1	9073381500	3415157577	300	SAMN13477811	SRX7362253	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	BA12_1	6th true leaf	Sarisha-14					Apex_22days
Brassica rapa	PRJNA593493	SRR10685345	Apex	-	not applicable	21d	SRP237446	BA11_2	8840462100	3449568999	300	SAMN13477810	SRX7362252	2020-12-18T00:00:00Z	2019-12-13T22:45:00Z	BA11_2	6th true leaf	Sarisha-14					Apex_21days
Brassica rapa	PRJNA593493	SRR10685346	Apex	-	not applicable	21d	SRP237446	BA11_1	8715800700	3126260272	300	SAMN13477809	SRX7362251	2020-12-18T00:00:00Z	2019-12-13T22:48:00Z	BA11_1	6th true leaf	Sarisha-14					Apex_21days
Brassica rapa	PRJNA593493	SRR10685348	Apex	-	not applicable	25d	SRP237446	BA10_3	9223314600	3483324006	300	SAMN13477837	SRX7362249	2020-12-18T00:00:00Z	2019-12-13T22:42:00Z	BA10_3	8th/9th true leaf	Sarisha-14					Apex_25days
Brassica rapa	PRJNA593493	SRR10685349	Apex	-	not applicable	20d	SRP237446	BA10_2	7869732300	3112885538	300	SAMN13477808	SRX7362248	2020-12-18T00:00:00Z	2019-12-13T22:43:00Z	BA10_2	5th true leaf	Sarisha-14					Apex_20days
Brassica rapa	PRJNA593493	SRR10685350	Apex	-	not applicable	20d	SRP237446	BA10_1	8522359200	3220505330	300	SAMN13477807	SRX7362247	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	BA10_1	5th true leaf	Sarisha-14					Apex_20days
Brassica rapa	PRJNA593493	SRR10685351	Apex	-	not applicable	24d	SRP237446	BA9_3	8923023000	3404381686	300	SAMN13477836	SRX7362246	2020-12-18T00:00:00Z	2019-12-13T22:49:00Z	BA9_3	7th true leaf	Sarisha-14					Apex_24days
Brassica rapa	PRJNA593493	SRR10685352	Apex	-	not applicable	19d	SRP237446	BA9_2	8206800600	3182728289	300	SAMN13477806	SRX7362245	2020-12-18T00:00:00Z	2019-12-13T22:41:00Z	BA9_2	5th true leaf	Sarisha-14					Apex_19days
Brassica rapa	PRJNA593493	SRR10685353	Apex	-	not applicable	19d	SRP237446	BA9_1	9294942900	3530146170	300	SAMN13477805	SRX7362244	2020-12-18T00:00:00Z	2019-12-13T22:45:00Z	BA9_1	5th true leaf	Sarisha-14					Apex_19days
Brassica rapa	PRJNA593493	SRR10685354	Apex	-	not applicable	23d	SRP237446	BA8_3	9282168000	3531232590	300	SAMN13477835	SRX7362243	2020-12-18T00:00:00Z	2019-12-13T23:09:00Z	BA8_3	7th true leaf	Sarisha-14					Apex_23days
Brassica rapa	PRJNA593493	SRR10685355	Apex	-	not applicable	18d	SRP237446	BA8_2	8089501200	3063781775	300	SAMN13477804	SRX7362242	2020-12-18T00:00:00Z	2019-12-13T22:46:00Z	BA8_2	5th true leaf	Sarisha-14					Apex_18days
Brassica rapa	PRJNA593493	SRR10685356	Apex	-	not applicable	18d	SRP237446	BA8_1	8162925900	3115200391	300	SAMN13477803	SRX7362241	2020-12-18T00:00:00Z	2019-12-13T22:45:00Z	BA8_1	5th true leaf	Sarisha-14					Apex_18days
Brassica rapa	PRJNA593493	SRR10685357	Apex	-	not applicable	21d	SRP237446	BA7_3	8755246500	3311231244	300	SAMN13477834	SRX7362240	2020-12-18T00:00:00Z	2019-12-13T22:44:00Z	BA7_3	6th true leaf	Sarisha-14					Apex_21days
Brassica rapa	PRJNA593493	SRR10685358	Apex	-	not applicable	19d	SRP237446	R18A5_2	8071167900	3117541951	300	SAMN13477701	SRX7362239	2020-12-18T00:00:00Z	2019-12-13T22:48:00Z	R18A5_2	5th true leaf visible	R-o-18					Apex_19days
